presenter,chair1,chair2,title,presenter_gender,chair1_gender,chair2_gender
John Burrrows,Deborah Stein Zweers (Knmi - Royal Netherlands Meteorological Institute),Simon Pinnock (European Space Agency),A.01.01 Advances in atmospheric composition - PART 1,male,female,male
Tijl Verhoelst,Deborah Stein Zweers (Knmi - Royal Netherlands Meteorological Institute),Simon Pinnock (European Space Agency),A.01.01 Advances in atmospheric composition - PART 1,male,female,male
Iolanda Ialongo,Deborah Stein Zweers (Knmi - Royal Netherlands Meteorological Institute),Simon Pinnock (European Space Agency),A.01.01 Advances in atmospheric composition - PART 1,female,female,male
Klaas Folkert Boersma,Deborah Stein Zweers (Knmi - Royal Netherlands Meteorological Institute),Simon Pinnock (European Space Agency),A.01.01 Advances in atmospheric composition - PART 1,male,female,male
Isabelle De Smedt,John Burrrows (University Of Bremen),Kaley A. Walker (University Of Toronto),A.01.01 Advances in atmospheric composition - PART 2,female,male,female
Deborah Stein Zweers,John Burrrows (University Of Bremen),Kaley A. Walker (University Of Toronto),A.01.01 Advances in atmospheric composition - PART 2,female,male,female
Florian Voet,John Burrrows (University Of Bremen),Kaley A. Walker (University Of Toronto),A.01.01 Advances in atmospheric composition - PART 2,male,male,female
Nicolas Theys,John Burrrows (University Of Bremen),Kaley A. Walker (University Of Toronto),A.01.01 Advances in atmospheric composition - PART 2,male,male,female
Jan Kaumanns,John Burrrows (University Of Bremen),Kaley A. Walker (University Of Toronto),A.01.01 Advances in atmospheric composition - PART 2,male,male,female
Quentin Errera,John Burrrows (University Of Bremen),Kaley A. Walker (University Of Toronto),A.01.01 Advances in atmospheric composition - PART 2,male,male,female
Peter Preusse,Georgios Balasis (National Observatory of Athens),William Ward (University Of New Brunswick),A.01.02 Vertical Coupling in the Whole Atmosphere System,male,male,male
Sabine Wüst,Georgios Balasis (National Observatory of Athens),William Ward (University Of New Brunswick),A.01.02 Vertical Coupling in the Whole Atmosphere System,female,male,male
Carsten Schmidt,Georgios Balasis (National Observatory of Athens),William Ward (University Of New Brunswick),A.01.02 Vertical Coupling in the Whole Atmosphere System,male,male,male
Alan Wood,Georgios Balasis (National Observatory of Athens),William Ward (University Of New Brunswick),A.01.02 Vertical Coupling in the Whole Atmosphere System,male,male,male
