name,role,title,gender
Stephan Bojinski - EUMETSAT,speaker,A.01.14 HANDS-ON TRAINING - Forecast severe thunderstorms in the coming hours using new Meteosat Third Generation weather satellite data,male
Tomas Pucik - ESSL,speaker,A.01.14 HANDS-ON TRAINING - Forecast severe thunderstorms in the coming hours using new Meteosat Third Generation weather satellite data,male
Nicholas Coops - University of British Columbia,speaker,A.02.12 HANDS-ON TRAINING - lidR: (A workshop for) Airborne LiDAR Data Manipulation and Visualization for Environmental Applications,male
Liam Irwin - University of British Columbia,speaker,A.02.12 HANDS-ON TRAINING - lidR: (A workshop for) Airborne LiDAR Data Manipulation and Visualization for Environmental Applications,male
Brent Murray - University of British Columbia,speaker,A.02.12 HANDS-ON TRAINING - lidR: (A workshop for) Airborne LiDAR Data Manipulation and Visualization for Environmental Applications,male
Boris Nörgaard – Université catholique of Louvain (UCLouvain),speaker,A.02.15 DEMO - Sen4Stat: an open-source toolbox leveraging satellite Earth Observation to improve agriculture statistics,male
Guillaume Jadot – Université catholique of Louvain (UCLouvain),speaker,A.02.15 DEMO - Sen4Stat: an open-source toolbox leveraging satellite Earth Observation to improve agriculture statistics,male
Pierre Houdmont – Université catholique of Louvain (UCLouvain),speaker,A.02.15 DEMO - Sen4Stat: an open-source toolbox leveraging satellite Earth Observation to improve agriculture statistics,male
Sophie Bontemps – Université catholique of Louvain (UCLouvain),speaker,A.02.15 DEMO - Sen4Stat: an open-source toolbox leveraging satellite Earth Observation to improve agriculture statistics,female
Cosmin Udroiu – from CS ROMANIA,speaker,A.02.15 DEMO - Sen4Stat: an open-source toolbox leveraging satellite Earth Observation to improve agriculture statistics,male
Carles Debart – Director of Business Development for Europe,speaker,A.04.04 TUTORIAL - Empowering Climate Research with GHGSat Emissions Data,male
Antoine Ramier – Science and Systems specialist,speaker,A.04.04 TUTORIAL - Empowering Climate Research with GHGSat Emissions Data,male
Giuseppe Amatulli - School of the Environment,speaker,A.07.10 DEMO - Generating hydrographic products with GRASS GIS: A hands-on workshop on the Hydrography90m methodology,male
Yale University,speaker,A.07.10 DEMO - Generating hydrographic products with GRASS GIS: A hands-on workshop on the Hydrography90m methodology,unknown
Victor Vicente Martinez - PML,speaker,A.08.14 Enhancing Cooperation between EC and ESA Ocean Science projects,male
Pierre Gernez - University of Nantes,speaker,A.08.14 Enhancing Cooperation between EC and ESA Ocean Science projects,male
Jamie Shutler - University of Exeter,speaker,A.08.14 Enhancing Cooperation between EC and ESA Ocean Science projects,mostly_female
Rosalia Santoleri - CNR-ISMAR,speaker,A.08.14 Enhancing Cooperation between EC and ESA Ocean Science projects,female
Angela Landolfi - CNR-ISMAR,speaker,A.08.14 Enhancing Cooperation between EC and ESA Ocean Science projects,female
Yolanda Sagarminaga - AZTI,speaker,A.08.14 Enhancing Cooperation between EC and ESA Ocean Science projects,female
Vagelis Spyrakos - STIR,speaker,A.08.14 Enhancing Cooperation between EC and ESA Ocean Science projects,unknown
Fabiola Silva - Colab Atlantic,speaker,A.08.14 Enhancing Cooperation between EC and ESA Ocean Science projects,female
Alexander Hayward - DMI,speaker,A.08.14 Enhancing Cooperation between EC and ESA Ocean Science projects,male
Rafael Goncalves-Araujo - DTU,speaker,A.08.14 Enhancing Cooperation between EC and ESA Ocean Science projects,male
